,title,url,clean_title
79,An-Education,https://www.imsdb.com/scripts/An-Education.html,An Education
80,Analyze-That,https://www.imsdb.com/scripts/Analyze-That.html,Analyze That
81,Analyze-This,https://www.imsdb.com/scripts/Analyze-This.html,Analyze This
82,Anastasia,https://www.imsdb.com/scripts/Anastasia.html,Anastasia
83,Angel-Eyes,https://www.imsdb.com/scripts/Angel-Eyes.html,Angel Eyes
85,Anna-Karenina,https://www.imsdb.com/scripts/Anna-Karenina.html,Anna Karenina
86,Annie-Hall,https://www.imsdb.com/scripts/Annie-Hall.html,Annie Hall
87,"Anniversary-Party,-The","https://www.imsdb.com/scripts/Anniversary-Party,-The.html","Anniversary Party, The"
88,Anonymous,https://www.imsdb.com/scripts/Anonymous.html,Anonymous
89,Antitrust,https://www.imsdb.com/scripts/Antitrust.html,Antitrust
90,Antz,https://www.imsdb.com/scripts/Antz.html,Antz
92,Apocalypse-Now,https://www.imsdb.com/scripts/Apocalypse-Now.html,Apocalypse Now
94,April-Fool's-Day,https://www.imsdb.com/scripts/April-Fool's-Day.html,April Fool's Day
95,Apt-Pupil,https://www.imsdb.com/scripts/Apt-Pupil.html,Apt Pupil
96,Arbitrage,https://www.imsdb.com/scripts/Arbitrage.html,Arbitrage
97,Arcade,https://www.imsdb.com/scripts/Arcade.html,Arcade
98,Arctic-Blue,https://www.imsdb.com/scripts/Arctic-Blue.html,Arctic Blue
99,Argo,https://www.imsdb.com/scripts/Argo.html,Argo
100,Armageddon,https://www.imsdb.com/scripts/Armageddon.html,Armageddon
101,Army-of-Darkness,https://www.imsdb.com/scripts/Army-of-Darkness.html,Army of Darkness
102,Arsenic-and-Old-Lace,https://www.imsdb.com/scripts/Arsenic-and-Old-Lace.html,Arsenic and Old Lace
103,Arthur,https://www.imsdb.com/scripts/Arthur.html,Arthur
104,"Artist,-The","https://www.imsdb.com/scripts/Artist,-The.html","Artist, The"
105,As-Good-As-It-Gets,https://www.imsdb.com/scripts/As-Good-As-It-Gets.html,As Good As It Gets
106,Assassins,https://www.imsdb.com/scripts/Assassins.html,Assassins
107,"Assignment,-The","https://www.imsdb.com/scripts/Assignment,-The.html","Assignment, The"
108,At-First-Sight,https://www.imsdb.com/scripts/At-First-Sight.html,At First Sight
109,August-Osage-County,https://www.imsdb.com/scripts/August-Osage-County.html,August: Osage County
110,Austin-Powers---International-Man-of-Mystery,https://www.imsdb.com/scripts/Austin-Powers---International-Man-of-Mystery.html,Austin Powers - International Man of Mystery
111,Austin-Powers---The-Spy-Who-Shagged-Me,https://www.imsdb.com/scripts/Austin-Powers---The-Spy-Who-Shagged-Me.html,Austin Powers - The Spy Who Shagged Me
112,Authors-Anonymous,https://www.imsdb.com/scripts/Authors-Anonymous.html,Authors Anonymous
113,Autumn-in-New-York,https://www.imsdb.com/scripts/Autumn-in-New-York.html,Autumn in New York
114,Avatar,https://www.imsdb.com/scripts/Avatar.html,Avatar
115,"Avengers,-The","https://www.imsdb.com/scripts/Avengers,-The.html","Avengers, The"
116,"Avengers,-The-(2012)","https://www.imsdb.com/scripts/Avengers,-The-(2012).html","Avengers, The (2012)"
117,"Avventura,-L'-(The-Adventure)","https://www.imsdb.com/scripts/Avventura,-L'-(The-Adventure).html","Avventura, L' (The Adventure)"
118,Awakenings,https://www.imsdb.com/scripts/Awakenings.html,Awakenings
119,Babel,https://www.imsdb.com/scripts/Babel.html,Babel
120,Bachelor-Party,https://www.imsdb.com/scripts/Bachelor-Party.html,Bachelor Party
121,"Bachelor-Party,-The","https://www.imsdb.com/scripts/Bachelor-Party,-The.html","Bachelor Party, The"
